mod,nAg,rRep,rOr,rOrX,rAt,rAtX,trial,iso,cco,exp,cc,degIn,degOut,avgDeg,degTot,astk,dirOld,dir,iter,inf,sstk,fda
V,50,10,15,1.50X,22,1.50X,8,1.22,2.39,-78.82,0.38,9.7,9.7,9.7,19.39,7,8.23,0.16,326,0.81,988,0.98
V,50,10,15,1.50X,22,1.50X,9,1.26,2.34,-82.76,0.4,8.84,8.84,8.84,17.68,6,7.05,0.14,130,0.91,1634,0.98
T7,100,10,15,1.50X,22,1.50X,0,1,4.47,-23.74,0.66,6.93,6.93,6.93,13.86,93,1.92,0.02,456,0.18,554,0.32
T7,100,10,15,1.50X,22,1.50X,1,1,3.82,-64.71,0.66,6.93,6.93,6.93,13.86,50,1.16,0.01,1472,0.16,270,0.45
T7,100,10,15,1.50X,22,1.50X,10,1,5.47,2.2,0.7,6.93,6.93,6.93,13.86,61,1.44,0.01,1089,0.15,817,0.4
T7,100,10,15,1.50X,22,1.50X,11,1,3.55,-7.32,0.64,6.93,6.93,6.93,13.86,66,1.77,0.02,467,0.32,904,0.39
T7,100,10,15,1.50X,22,1.50X,12,1,3.23,-57.7,0.61,6.93,6.93,6.93,13.86,78,3.95,0.04,461,0.24,1011,0.59
T7,100,10,15,1.50X,22,1.50X,13,1,4.66,-10.71,0.66,6.93,6.93,6.93,13.86,92,1.85,0.02,1299,0.14,593,0.31
T7,100,10,15,1.50X,22,1.50X,14,1,3.35,-5.83,0.64,6.93,6.93,6.93,13.86,120,1.75,0.02,0,0.3,0,0.22
T7,100,10,15,1.50X,22,1.50X,15,1,4.47,-50.8,0.65,6.93,6.93,6.93,13.86,51,1.15,0.01,1446,0.13,334,0.36
T7,100,10,15,1.50X,22,1.50X,16,1,2.65,-75.49,0.59,6.93,6.93,6.93,13.86,46,1.63,0.02,387,0.49,1613,0.57
T7,100,10,15,1.50X,22,1.50X,17,1,2.95,-55.96,0.59,6.93,6.93,6.93,13.86,41,1.59,0.02,1177,0.18,471,0.61
T7,100,10,15,1.50X,22,1.50X,18,1,3.87,-37.78,0.63,6.93,6.93,6.93,13.86,35,1.06,0.01,1516,0.15,338,0.46
T7,100,10,15,1.50X,22,1.50X,19,1,4.3,21.69,0.65,6.93,6.93,6.93,13.86,67,1.93,0.02,1110,0.16,562,0.39
